Trade Date,Open (Rs.),High (Rs.),Low (Rs.),Close (Rs.),ShareVolume
11/18/22,514.5,514.5,471,513.25,2122
11/17/22,514.5,514.5,514.5,514.5,1895
11/16/22,514.5,514.5,514,514.5,2187
11/15/22,515,515,514.5,514.5,1526
11/14/22,514.5,514.5,514.5,514.5,582
11-11-22,460,514,460,514,109
11-09-22,515,515,512,512.75,2991
11-08-22,515,515,510,514,2335
11-04-22,515,515,515,515,1000
11-03-22,515,515,515,515,10000
11-03-22,515,515,515,515,10000
11-02-22,515,516,515,515,6002
11-01-22,505,515,505,514.5,2024
10/31/22,513.5,515,450,512.75,3100
10/28/22,508.25,514.25,508.25,514,9385
10/27/22,509.75,509.75,509,515.75,15
10/26/22,491,491,461,515.75,31
10/25/22,515,515,515,515.75,1
10/21/22,470.25,520,470.25,515.75,3563
10/20/22,470.5,515,470.5,515,706
10/19/22,515,515,514.5,515,13300
10/18/22,519.5,519.5,515,515,26140
10/17/22,520,520,515,518.5,3652
10/14/22,509.75,520,509.75,515,2984
10/13/22,499,510,499,500,10323
10-12-22,470,492.75,470,485,5118
10-11-22,471.5,471.5,470,470,8236
10-07-22,462,470,460,465.5,22894
10-06-22,445,465,445,459,10889
10-05-22,439.75,440,439.5,440,1002
10-04-22,426,445,333.75,440,8188
10-03-22,427,450,427,445,2525
9/30/22,450,460,430.25,449.5,10987
9/29/22,443.25,470,407,469,8024
9/28/22,463,470,441,468.75,14182
9/27/22,475,476,455.5,469.5,15495
9/26/22,455.25,475,455.25,470.5,41192
9/23/22,459,474.25,455,462.75,30487
9/22/22,460,480,457,470.5,16557
9/21/22,467.5,492,467.5,485.25,26700
9/20/22,490,490,448,473.5,14585
9/19/22,490,490,460,466.5,12673
9/16/22,444,494,440,485,63659
9/15/22,440,442.5,410.25,439.25,11659
9/14/22,420,444,403,427.25,21708
9/13/22,403.5,419.75,402.75,405,1812
09-12-22,422,440,400,429,19274
09-09-22,429.75,429.75,376,400.75,4461
09-08-22,441,445,330.5,425.25,18612
09-07-22,430,480,387.75,439.5,27386
09-06-22,378,387.75,320.25,387.75,56575
09-05-22,310.25,310.25,310.25,310.25,36724
09-02-22,199.75,248.25,199.75,248.25,46344
09-01-22,186,200,186,198.75,24659
8/31/22,197.75,197.75,185.25,190.25,2980
8/30/22,199,199,193.25,194.75,1341
8/29/22,201,204.75,190,193.25,8865
8/26/22,208.75,208.75,193,200.25,7956
8/25/22,220,220,198,201,26146
8/24/22,208,208,190,197.5,9873
8/23/22,210,226,200,202.75,13890
8/22/22,235,235,160,195.75,66360
